0,sub_region_1,country,date,humidity,sun_hour,temp
1,,Afghanistan,23/01/20,59,8.7,-3
2,,Afghanistan,24/01/20,71,7.1,0
3,,Afghanistan,25/01/20,79,8.7,0
4,,Afghanistan,26/01/20,64,8.7,-1
5,,Afghanistan,27/01/20,66,8.7,-1
6,,Afghanistan,28/01/20,59,8.7,-2
7,,Afghanistan,29/01/20,56,8.7,-3
8,,Afghanistan,30/01/20,66,8.7,-2
9,,Afghanistan,31/01/20,70,4,-1
10,,Afghanistan,01/02/20,60,8.7,-1
11,,Afghanistan,02/02/20,57,8.7,-1
12,,Afghanistan,03/02/20,73,4,0
13,,Afghanistan,04/02/20,89,4,-1
14,,Afghanistan,05/02/20,70,8.7,-2
15,,Afghanistan,06/02/20,57,7.1,-1
16,,Afghanistan,07/02/20,50,8.7,-1
17,,Afghanistan,08/02/20,45,8.7,4
18,,Afghanistan,09/02/20,48,8.7,3
19,,Afghanistan,10/02/20,65,7.2,1
20,,Afghanistan,11/02/20,97,4.1,1
21,,Afghanistan,12/02/20,99,4.1,1
22,,Afghanistan,13/02/20,81,4.1,6
23,,Afghanistan,14/02/20,38,8.7,2
24,,Afghanistan,15/02/20,39,8.7,5
25,,Afghanistan,16/02/20,39,8.7,1
26,,Afghanistan,17/02/20,33,8.7,5
27,,Afghanistan,18/02/20,41,8.7,7
28,,Afghanistan,19/02/20,49,8.7,5
29,,Afghanistan,20/02/20,55,7.2,6
30,,Afghanistan,21/02/20,50,8.7,7
31,,Afghanistan,22/02/20,51,8.7,9
32,,Afghanistan,23/02/20,47,8.7,11
33,,Afghanistan,24/02/20,47,8.7,11
34,,Afghanistan,25/02/20,50,8.7,10
35,,Afghanistan,26/02/20,42,8.7,13
36,,Afghanistan,27/02/20,59,8.7,14
37,,Afghanistan,28/02/20,70,4.2,12
38,,Afghanistan,29/02/20,74,7.2,9
39,,Afghanistan,01/03/20,65,8.7,13
40,,Afghanistan,02/03/20,46,8.7,16
41,,Afghanistan,03/03/20,39,8.7,14
42,,Afghanistan,04/03/20,75,5.7,7
43,,Afghanistan,05/03/20,79,5.7,8
44,,Afghanistan,06/03/20,53,8.7,12
45,,Afghanistan,07/03/20,39,8.7,10
46,,Afghanistan,08/03/20,34,8.7,9
47,,Afghanistan,09/03/20,54,5.8,8
48,,Afghanistan,10/03/20,74,4.3,6
49,,Afghanistan,11/03/20,71,4.3,9
50,,Afghanistan,12/03/20,70,4.3,7
51,,Afghanistan,13/03/20,52,11.6,13
52,,Afghanistan,14/03/20,31,11.6,14
53,,Afghanistan,15/03/20,30,11.6,14
54,,Afghanistan,16/03/20,32,10.2,14
55,,Afghanistan,17/03/20,44,11.6,15
56,,Afghanistan,18/03/20,44,12,17
57,,Afghanistan,19/03/20,39,12.5,17
58,,Afghanistan,20/03/20,54,9.1,13
59,,Afghanistan,21/03/20,61,9.2,15
60,,Albania,22/01/20,51,7,11
61,,Albania,23/01/20,52,8.7,14
62,,Albania,24/01/20,56,8.7,15
63,,Albania,25/01/20,78,3.7,12
64,,Albania,26/01/20,78,3.7,14
65,,Albania,27/01/20,86,5.4,13
66,,Albania,28/01/20,84,3.7,12
67,,Albania,29/01/20,83,3.7,13
68,,Albania,30/01/20,75,7,13
69,,Albania,31/01/20,65,8.7,14
70,,Albania,01/02/20,80,7.1,14
71,,Albania,02/02/20,82,8.7,15
72,,Albania,03/02/20,81,8.7,15
73,,Albania,04/02/20,82,7.1,16
74,,Albania,05/02/20,71,8.7,8
75,,Albania,06/02/20,56,8.7,6
76,,Albania,07/02/20,51,8.7,9
77,,Albania,08/02/20,59,8.7,14
78,,Albania,09/02/20,65,8.7,13
79,,Albania,10/02/20,77,5.6,12
80,,Albania,11/02/20,78,4,14
81,,Albania,12/02/20,80,4,16
82,,Albania,13/02/20,64,8.7,16
83,,Albania,14/02/20,78,4,9
84,,Albania,15/02/20,66,8.7,15
85,,Albania,16/02/20,61,8.7,16
86,,Albania,17/02/20,62,8.7,15
87,,Albania,18/02/20,70,8.7,14
88,,Albania,19/02/20,77,8.7,15
89,,Albania,20/02/20,76,5.6,11
90,,Albania,21/02/20,57,8.7,11
91,,Albania,22/02/20,54,8.7,12
92,,Albania,23/02/20,54,8.7,14
93,,Albania,24/02/20,62,8.7,16
94,,Albania,25/02/20,71,8.7,17
95,,Albania,26/02/20,74,7.2,17
96,,Albania,27/02/20,79,4.2,7
97,,Albania,28/02/20,83,4.2,9
